,champion,games played,KDA,win rate,pick rate,ban rate,CS,gold
0,Ezreal,4251743,2.45:1,0.48979999999999996,0.268,0.0827,183.62,11938
1,Yone,2858222,1.8:1,0.49579999999999996,0.1802,0.17920000000000003,189.04,12066
2,Yasuo,2831898,1.68:1,0.4919,0.17850000000000002,0.2645,196.09,12229
3,Lux,2795316,2.57:1,0.5024000000000001,0.17620000000000002,0.09939999999999999,80.96,9838
4,Jhin,2713394,3:1,0.5126,0.171,0.0452,181.38,12299
5,Ashe,2683549,2.42:1,0.5056,0.1691,0.0441,116.72,10286
6,Kai'Sa,2599812,2.42:1,0.49,0.16390000000000002,0.0204,196.42,13033
7,Miss Fortune,2325206,2.35:1,0.5095000000000001,0.1466,0.0381,161.44,11615
8,Kayn,2252025,2.36:1,0.5014,0.1419,0.1067,169.64,12293
9,Diana,2179905,2.47:1,0.5183,0.1374,0.0797,181.43,12379
10,Senna,2173165,2.53:1,0.4987,0.13699999999999998,0.2014,46.87,10027
11,Vayne,1982408,1.94:1,0.5031,0.125,0.1505,178.51,12318
12,Lucian,1956000,2.28:1,0.4867,0.1233,0.1195,193.33,12476
13,Volibear,1930121,2.46:1,0.5228,0.1217,0.1338,156.92,11179
14,Lee Sin,1903692,2.54:1,0.4521,0.12,0.0855,145.08,11171
15,Sylas,1889024,2.09:1,0.4953,0.1191,0.06860000000000001,143.18,10832
16,Yuumi,1814101,4.36:1,0.49479999999999996,0.1143,0.2109,7.01,7712
17,Caitlyn,1807422,2.21:1,0.4842,0.1139,0.051,183.86,12092
18,Viego,1782552,2.34:1,0.4877,0.1124,0.0815,159.78,11808
19,Samira,1774161,2.26:1,0.5073,0.1118,0.22899999999999998,184.39,13004
20,Darius,1749435,1.86:1,0.5033,0.1103,0.2816,180.49,11924
21,Akali,1724445,2.32:1,0.48829999999999996,0.10869999999999999,0.1278,148.69,11111
22,Master Yi,1692502,1.97:1,0.4997,0.1067,0.23809999999999998,163.74,12557
23,Seraphine,1681334,2.7:1,0.5171,0.106,0.051,81.12,9409
24,Wukong,1669842,2.7:1,0.5154,0.10529999999999999,0.1966,152.78,11503
25,Irelia,1658402,1.7:1,0.49369999999999997,0.1045,0.1962,210.03,12683
26,Ahri,1622147,2.52:1,0.496,0.10220000000000001,0.08990000000000001,162.49,10817
27,Twitch,1581139,2.44:1,0.5085000000000001,0.09970000000000001,0.0793,165.75,12490
28,Morgana,1555091,2.53:1,0.5049,0.098,0.2126,53.04,9212
29,Zed,1551114,2.31:1,0.48719999999999997,0.0978,0.35409999999999997,168.54,12087
30,Zeri,1531468,2.37:1,0.48810000000000003,0.0965,0.1177,190.01,12205
31,Viktor,1529737,2.3:1,0.5229,0.0964,0.084,191.47,12104
32,Mordekaiser,1522529,2.03:1,0.5191,0.096,0.1038,170.85,11667
33,Swain,1514617,2.41:1,0.5167,0.0955,0.0659,103.87,10204
34,Jinx,1502113,2.24:1,0.485,0.0947,0.0103,188.96,12062
35,Nautilus,1482843,2.35:1,0.4939,0.0935,0.1782,36.8,7735
36,Gangplank,1460258,2.02:1,0.4764,0.092,0.1263,198.83,13485
37,Lulu,1446974,3.03:1,0.4976,0.09119999999999999,0.0882,19.21,7785
38,Xerath,1391852,2.75:1,0.5159,0.0877,0.1158,88.76,10522
39,Pyke,1370083,2.29:1,0.49369999999999997,0.0864,0.1458,42.45,9530
40,Garen,1354978,2.17:1,0.5174,0.08539999999999999,0.04019999999999999,192.04,12352
41,Katarina,1345872,2.26:1,0.4949,0.0848,0.08289999999999999,154.31,12425
42,Blitzcrank,1318433,2.48:1,0.5055,0.08310000000000001,0.22760000000000002,33.85,7788
43,Bel'Veth,1312153,2.22:1,0.517,0.0827,0.5653,172.47,12165
44,Veigar,1289410,2.27:1,0.5074000000000001,0.08130000000000001,0.0495,165.87,11691
45,Graves,1273642,2.4:1,0.48719999999999997,0.0803,0.0805,190.75,12507
46,Tristana,1252270,2.27:1,0.5025999999999999,0.0789,0.032799999999999996,181.88,12776
47,Sivir,1241933,2.56:1,0.5203,0.0783,0.0464,211.14,12394
48,Ekko,1208875,2.56:1,0.5005,0.0762,0.0231,164.81,12262
49,Sett,1195060,1.82:1,0.5025999999999999,0.0753,0.039599999999999996,156.39,11267
50,Shaco,1193468,2.7:1,0.49979999999999997,0.07519999999999999,0.1815,126.13,11394
51,Nami,1184048,3.19:1,0.509,0.0746,0.019,13.6,8216
52,Kayle,1156468,1.86:1,0.5135000000000001,0.0729,0.051699999999999996,210.14,12276
53,Lillia,1122952,2.46:1,0.5146999999999999,0.0708,0.04190000000000001,180.63,12011
54,Teemo,1114511,1.74:1,0.498,0.0702,0.11019999999999999,173.02,11697
55,Amumu,1111171,2.59:1,0.5235,0.07,0.015600000000000001,122.76,10427
56,Shyvana,1076726,2.73:1,0.5325,0.0679,0.0305,186.29,11881
57,Karma,1071665,2.62:1,0.4838,0.0675,0.0207,39.05,8381
58,Warwick,1068895,2.22:1,0.5094,0.0674,0.030299999999999997,142.35,11446
59,Jax,1068786,1.72:1,0.4932,0.0674,0.051699999999999996,171.1,11786
60,Thresh,1067931,2.54:1,0.4781,0.0673,0.0176,37.06,7822
61,Zac,1038156,3.47:1,0.5221,0.0654,0.0308,139.99,10730
62,Brand,998486,1.89:1,0.5085000000000001,0.0629,0.0535,80.28,10311
63,Fiora,998075,1.74:1,0.5034000000000001,0.0629,0.12619999999999998,177.73,11630
64,Leona,972647,2.36:1,0.491,0.0613,0.1039,35.32,7741
65,Trundle,962610,2.43:1,0.5203,0.060700000000000004,0.027200000000000002,159.47,11686
66,Aatrox,960001,1.94:1,0.4919,0.0605,0.0415,169.88,11121
67,Draven,914180,2.09:1,0.5043,0.0576,0.0771,185.97,13752
68,Malphite,909867,2.39:1,0.48710000000000003,0.0574,0.0403,132.21,9981
69,Renata Glasc,902292,2.74:1,0.5205,0.056900000000000006,0.0601,23.88,8091
70,Talon,866914,2.36:1,0.49729999999999996,0.0546,0.0333,172.52,12662
71,Soraka,854040,2.75:1,0.5079,0.0538,0.021099999999999997,20.33,7632
72,Pantheon,838495,2.09:1,0.4832,0.0529,0.0096,107.15,10602
73,Kalista,836549,2.22:1,0.49689999999999995,0.0527,0.027200000000000002,194.01,12872
74,Nasus,829527,2:1,0.5075999999999999,0.052300000000000006,0.0336,176.56,11527
75,Gnar,815555,1.97:1,0.4963,0.051399999999999994,0.0137,176.77,11238
76,Kindred,796002,2.2:1,0.4928,0.050199999999999995,0.0258,165.58,12301
77,Vladimir,771119,2.29:1,0.5003,0.048600000000000004,0.037000000000000005,185.95,11554
78,Tahm Kench,764399,2.6:1,0.5092,0.0482,0.0434,125.12,9980
79,Illaoi,740151,1.45:1,0.5119,0.0467,0.0622,199.12,12138
80,Zyra,705579,2.15:1,0.5154,0.044500000000000005,0.0226,59.93,9642
81,LeBlanc,705374,2.74:1,0.4729,0.044500000000000005,0.0984,133.73,10724
82,Ornn,703690,2.43:1,0.5136,0.0444,0.0070999999999999995,162.94,10375
83,Corki,700517,2.18:1,0.48210000000000003,0.044199999999999996,0.0055000000000000005,198.86,12724
84,Kha'Zix,680023,2.51:1,0.4962,0.0429,0.019299999999999998,157.29,12506
85,Sejuani,672983,2.92:1,0.515,0.0424,0.0054,155.66,10857
86,Shen,671872,3.01:1,0.5123,0.042300000000000004,0.005600000000000001,133.52,9868
87,Poppy,663104,2.53:1,0.5062,0.0418,0.0273,138.76,10411
88,Renekton,659734,1.89:1,0.4861,0.0416,0.0223,185.33,11678
89,Gragas,653911,2.37:1,0.4863,0.0412,0.0038,149.57,10622
90,Vi,651255,2.36:1,0.5025999999999999,0.040999999999999995,0.0074,154.77,11599
91,Nocturne,650366,2.52:1,0.49920000000000003,0.040999999999999995,0.0296,163.6,12006
92,Vex,646375,2.37:1,0.49770000000000003,0.0407,0.06280000000000001,148.54,10796
93,Tryndamere,640306,1.82:1,0.4919,0.0404,0.0504,201.49,12653
94,Camille,637065,1.98:1,0.5008,0.04019999999999999,0.019299999999999998,161.29,11142
95,Riven,619051,1.94:1,0.49420000000000003,0.039,0.0109,180.85,11644
96,Nidalee,609907,2.73:1,0.4739,0.0384,0.015,149.69,11499
97,Zilean,604665,3.17:1,0.5165,0.0381,0.013000000000000001,58.15,8599
98,Vel'Koz,603579,2.38:1,0.5152,0.038,0.0070999999999999995,96.2,10321
99,Xayah,603398,2.33:1,0.4825,0.038,0.005699999999999999,195.07,12245
100,Gwen,602483,1.68:1,0.46659999999999996,0.038,0.028999999999999998,181.44,11481
101,Rammus,595574,2.89:1,0.5245000000000001,0.0375,0.0608,136.83,10708
102,Malzahar,593341,2.23:1,0.5101,0.0374,0.040999999999999995,194.26,11816
103,Sona,583288,2.93:1,0.5196000000000001,0.0368,0.0021,18.77,8199
104,Olaf,583000,1.87:1,0.51,0.036699999999999997,0.0481,173.84,12010
105,Rengar,574388,2.16:1,0.4888,0.0362,0.023700000000000002,160.62,12401
106,Fiddlesticks,571466,2.61:1,0.5034000000000001,0.036000000000000004,0.013000000000000001,143.19,10920
107,Fizz,571332,2.44:1,0.5055,0.036000000000000004,0.048,153.95,11952
108,Yorick,570695,1.66:1,0.5227,0.036000000000000004,0.0369,199.84,12204
109,Akshan,565890,2.1:1,0.5018,0.035699999999999996,0.049,175.89,12496
110,Nunu & Willump,550699,2.75:1,0.4878,0.0347,0.0096,136.26,10418
111,Janna,549345,3.15:1,0.5185,0.0346,0.006500000000000001,17.87,7721
112,Dr. Mundo,543663,2.31:1,0.5162,0.034300000000000004,0.0192,177.73,11317
113,Kassadin,528907,2.51:1,0.5079,0.0333,0.0415,172.03,11785
114,Azir,521256,2.13:1,0.4813,0.0329,0.0067,183.94,11491
115,Anivia,514007,2.58:1,0.5077,0.032400000000000005,0.030899999999999997,164.91,11213
116,Jayce,512799,1.79:1,0.4803,0.0323,0.0076,189.53,11942
117,Rakan,512149,2.81:1,0.4963,0.0323,0.0026,35.53,7739
118,Nilah,512143,1.98:1,0.4858,0.0323,0.1566,184.26,12067
119,Xin Zhao,499728,2.14:1,0.48369999999999996,0.0315,0.0070999999999999995,151.79,11243
120,Qiyana,497388,2.22:1,0.4926,0.031400000000000004,0.0108,159.82,12257
121,Lissandra,491566,2.32:1,0.4876,0.031,0.009000000000000001,170.95,10853
122,Cassiopeia,489107,2.05:1,0.5113,0.0308,0.0202,186.22,11771
123,Sion,489030,1.65:1,0.48969999999999997,0.0308,0.005699999999999999,191.55,11765
124,Aphelios,481105,1.96:1,0.4632,0.030299999999999997,0.0059,185.39,11867
125,Heimerdinger,477794,1.85:1,0.5233,0.0301,0.015300000000000001,160.86,11262
126,Alistar,470672,2.41:1,0.4842,0.0297,0.0087,34.85,7576
127,Twisted Fate,463168,2.21:1,0.47340000000000004,0.0292,0.0024,155.28,11262
128,Kog'Maw,462014,2.23:1,0.5145000000000001,0.0291,0.0121,189.67,12565
129,Taliyah,460734,2.35:1,0.49229999999999996,0.028999999999999998,0.0218,165.7,11684
130,Varus,441319,2.23:1,0.483,0.0278,0.0018,178.06,12312
131,Zoe,430285,2.4:1,0.47729999999999995,0.0271,0.0101,144.23,10803
132,Neeko,427195,2.25:1,0.5107,0.0269,0.0051,128.1,10534
133,Urgot,417614,1.94:1,0.5065999999999999,0.0263,0.0131,192.89,12489
134,Hecarim,416330,2.78:1,0.475,0.0262,0.0097,163.83,11757
135,Jarvan IV,395490,3.03:1,0.48090000000000005,0.024900000000000002,0.0018,139.52,11049
136,Karthus,393493,2.32:1,0.4915,0.0248,0.0079,191.04,12979
137,Evelynn,389839,2.9:1,0.48729999999999996,0.0246,0.023700000000000002,142.71,11807
138,Cho'Gath,388302,2.16:1,0.49420000000000003,0.0245,0.006500000000000001,164.96,11249
139,Galio,380396,2.47:1,0.48700000000000004,0.024,0.0037,123.79,9567
140,Taric,376007,2.68:1,0.5199,0.023700000000000002,0.0029,53.52,8053
141,Bard,374121,2.96:1,0.503,0.0236,0.0026,28.25,8392
142,Rumble,372655,2.28:1,0.48450000000000004,0.0235,0.0043,164.71,11117
143,Ziggs,369296,2.36:1,0.5028,0.0233,0.0024,172.54,11487
144,Orianna,356750,2.63:1,0.4888,0.0225,0.0018,176.83,10998
145,Maokai,356267,2.23:1,0.5039,0.0225,0.0017000000000000001,67.32,8547
146,Ryze,354704,1.99:1,0.4517,0.022400000000000003,0.0021,192.68,11283
147,Syndra,350996,2.22:1,0.4781,0.022099999999999998,0.0063,163.61,11107
148,Annie,331990,2.34:1,0.5071,0.0209,0.0069,143.23,10905
149,Singed,326804,1.99:1,0.4929,0.0206,0.0074,166.04,10591
150,Rek'Sai,314901,2.6:1,0.5036,0.019799999999999998,0.0254,144.0,11603
